customer_id,last_order_date,frequency,monetary,recency,R_score,F_score,M_score,RFM_Score
C100000,2025-04-12,4,19256.0,156,2,2,4,224
C100002,2025-08-30,4,9330.0,16,4,2,3,423
C100003,2025-03-25,1,2080.0,174,2,1,1,211
C100004,2025-07-04,2,2724.0,73,3,1,1,311
C100005,2025-04-22,2,1503.0,146,3,1,1,311
C100006,2024-07-29,4,11652.0,413,1,2,3,123
C100007,2025-03-12,3,12864.0,187,2,1,3,213
C100008,2023-06-04,1,1662.0,834,1,1,1,111
C100009,2024-07-24,3,4276.0,418,1,1,1,111
C100010,2025-01-07,2,7188.0,251,2,1,2,212
C100011,2025-07-03,6,15132.0,74,3,4,4,344
C100012,2024-11-02,6,17303.0,317,2,4,4,244
C100013,2025-07-10,4,5787.0,67,3,2,2,322
C100014,2024-04-26,1,965.0,507,1,1,1,111
C100015,2025-07-25,8,19748.0,52,4,4,4,444
C100016,2023-11-07,3,5618.0,678,1,1,2,112
C100017,2024-12-26,3,7514.0,263,2,1,2,212
C100018,2025-05-12,7,13681.0,126,3,4,4,344
C100019,2023-08-03,1,2884.0,774,1,1,1,111
C100020,2025-08-20,7,18870.0,26,4,4,4,444
C100021,2025-03-31,2,2971.0,168,2,1,1,211
C100022,2025-05-06,5,9077.0,132,3,3,2,332
C100023,2025-08-01,5,9828.0,45,4,3,3,433
C100024,2024-05-15,4,8127.0,488,1,2,2,122
C100025,2024-04-09,3,8081.0,524,1,1,2,112
C100026,2025-09-14,4,5314.0,1,4,2,1,421
C100027,2025-05-09,3,6831.0,129,3,1,2,312
C100028,2025-08-28,5,11458.0,18,4,3,3,433
C100029,2024-08-30,4,11220.0,381,1,2,3,123
C100030,2025-03-05,8,29587.0,194,2,4,4,244
C100031,2025-07-28,4,11804.0,49,4,2,3,423
C100032,2023-11-19,2,2578.0,666,1,1,1,111
C100033,2025-08-02,4,7912.0,44,4,2,2,422
C100034,2025-08-18,4,9277.0,28,4,2,3,423
C100035,2024-09-10,2,2102.0,370,1,1,1,111
C100036,2024-09-04,3,7012.0,376,1,1,2,112
C100037,2025-07-18,7,15647.0,59,4,4,4,444
C100038,2025-04-04,4,6045.0,164,2,2,2,222
C100039,2024-12-04,3,4141.0,285,2,1,1,211
C100040,2025-07-18,4,10144.0,59,4,2,3,423
C100041,2024-12-20,3,10911.0,269,2,1,3,213
C100042,2025-01-07,3,8083.0,251,2,1,2,212
C100043,2024-12-28,4,8597.0,261,2,2,2,222
C100044,2025-06-25,2,1360.0,82,3,1,1,311
C100045,2025-07-20,6,14429.0,57,4,4,4,444
C100046,2025-06-09,3,15438.0,98,3,1,4,314
C100047,2025-07-23,2,3382.0,54,4,1,1,411
C100048,2025-06-14,8,17558.0,93,3,4,4,344
