order_id,order_date,customer_id,product,category,quantity,price,sales,cost,profit,age,gender,region,year,month,month_year
O203315,2025-06-01,C100306,Portable Charger,Electronics,2,1228.0,2456.0,2028,428,59,Male,North,2025,6,2025-06
O209082,2024-08-23,C102184,Bluetooth Speaker,Electronics,2,1581.0,3162.0,2234,928,27,Female,North,2024,8,2024-08
O208080,2024-12-09,C100812,Lip Balm,Beauty,2,871.0,1742.0,1248,542,35,Male,East,2024,12,2024-12
O209215,2024-06-04,C102157,Slim Jeans,Clothing,2,660.0,1320.0,1022,298,60,Male,West,2024,6,2024-06
O207267,2025-08-05,C100411,Face Serum,Beauty,2,690.0,1380.0,938,442,54,Male,West,2025,8,2025-08
O209217,2024-03-06,C100299,Dumbbell 5kg,Sports,2,668.0,1336.0,831,505,28,Female,North,2024,3,2024-03
O209674,2024-07-18,C101264,Throw Pillow,Home,3,633.0,1899.0,1545,354,32,Unknown,Central,2024,7,2024-07
O207899,2023-01-12,C101172,Sneakers Lite,Clothing,3,1141.0,3423.0,3344,940,30,Male,West,2023,1,2023-01
O207627,2024-11-15,C102263,Bed Sheet Set,Home,2,714.0,1428.0,1047,381,39,Female,East,2024,11,2024-11
O206797,2025-07-16,C101511,Sunscreen SPF50,Beauty,1,551.0,551.0,437,114,58,Male,South,2025,7,2025-07
O202492,2025-05-21,C100986,Bluetooth Speaker,Electronics,2,1736.0,3472.0,2570,902,56,Female,North,2025,5,2025-05
O205199,2024-11-28,C101670,Sunscreen SPF50,Beauty,5,643.0,3215.0,2461,754,26,Other,North,2024,11,2024-11
O202922,2023-11-20,C101592,Throw Pillow,Home,2,531.0,1062.0,878,184,48,Male,West,2023,11,2023-11
O207456,2023-12-29,C102093,T-Shirt Classic,Clothing,3,1803.0,5409.0,4380,1029,36,Male,West,2023,12,2023-12
O203299,2025-02-17,C101115,Slim Jeans,Clothing,2,437.0,874.0,731,143,18,Male,West,2025,2,2025-02
O204899,2025-08-31,C101085,Phone Case,Electronics,2,906.0,1812.0,1335,477,36,Male,Central,2025,8,2025-08
O208473,2023-11-23,C101184,Lip Balm,Beauty,3,1083.0,3249.0,2297,952,49,Female,West,2023,11,2023-11
O202485,2024-11-16,C100680,Smartwatch Pro,Electronics,5,965.0,4825.0,3212,1613,35,Female,North,2024,11,2024-11
O203945,2024-09-01,C101193,Throw Pillow,Home,2,389.0,778.0,633,145,59,Female,West,2024,9,2024-09
O201593,2025-06-21,C102224,Smartwatch Pro,Electronics,3,1608.0,4824.0,3134,1690,43,Female,Central,2025,6,2025-06
